0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:20 +0700] "GET /BanHang/image?fname=product/CB1000R%202023.jpg HTTP/1.1" 200 28184
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:20 +0700] "GET /BanHang/image?fname=product/CBR650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30938
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:20 +0700] "GET /BanHang/image?fname=product/CB650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30160
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:20 +0700] "GET /BanHang/image?fname=product/CBR500R%202022.jpg HTTP/1.1" 200 35048
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/user/listprocate?cateID=1 HTTP/1.1" 200 141234
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
